epoch,acc,nmi,Ln,Lc
0,0.95601,0.90544,0,0
1,0.95624,0.90506,0.005881425178521415,0.013225903
2,0.95539,0.90327,0.005210282041412526,0.012984856
3,0.95431,0.90096,0.005151422041719847,0.01282145
4,0.95263,0.89817,0.0051053170213326265,0.012718452
5,0.95066,0.89505,0.005071123269978013,0.012657039
6,0.94847,0.8921,0.005037108016451889,0.012618848
7,0.94606,0.88918,0.005009711516110131,0.012590484
8,0.94373,0.88666,0.004984826296499937,0.012561906
9,0.94146,0.88447,0.004961101701958989,0.012525684
10,0.93861,0.8818,0.004939878901575495,0.012479516
